Kata1(25),,,,,,
arrayNum = [ ],i=1,index <=25,i=1 && index <=25,array.push,i++,return
[ ],"0 ",true,true,1,1+1=2,
[0],1,true,true,2,2+1=3,
"[0,1]",2,true,true,3,3+1=4,
"[0,1,2]",3,true,true,4,4+1=5,
"[0,1,2,3]",4,true,true,5,5+2=6,
,,,,,,
-,-,-,-,-,-,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,17,18,19,20,21,22,23,24,25]"
,,,,,,
Katas2(25),,,,,,
arrayNum = [ ],i=25,index >  0,i=25 && index > 0,array.push,i--,return
[ ],0,true,true,25,25-1=24,
[0],1,true,true,24,24-1=23,
"[0,1]",2,true,true,23,23-1=22,
"[0,1,2]",3,true,true,22,22-1=21,
"[0,1,2,3]",4,true,true,21,21-1=20,
,,,,,,
-,-,-,-,-,-,"[25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1]"
,,,,,,
Katas3(25),,,,,," "
arrayNum = [ ],i=1,index <= 25,i=1 && index <=25,array.push,i++,return
[ ],0,true,true,-1,-1+1=0,
[0],1,true,true,-2,-2+1=1,
"[0,1]",2,true,true,-3,-3+1=-2,
"[0,1,2]",3,true,true,-4,-4+1=-3,
"[0,1,2,3]",4,true,true,-5,-5+1=-4,
,,,,,,
-,-,-,-,-,-,"[-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25]"
,,,,,,
Katas4(25),,,,,,
arrayNum = [ ],i=-25,index < 0,i=-25 && index < 0,array.push,i-=2,return
[ ],0,true,true,-25,-,
[0],1,true,true,-24,-,
"[0,1]",2,true,true,-23,-,
"[0,1,2]",3,true,true,-22,-,
"[0,1,2,3]",4,true,true,-21,-,
"[0,1,2,3,4]",5,true,true,-20,-,
,,,,,,
-,-,-,-,-,-,"[-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1]"
,,,,,,
Katas5(25),,,,,,
arrayNum = [ ],i=25,index > -26,i=25 && index >-26,array.push,i-=2,return
[ ],0,true,true,25,-,
[0],1,true,true,23,-,
"[0,1]",2,true,true,21,-,
"[0,1,2]",3,true,true,19,-,
"[0,1,2,3]",4,true,true,17,-,
,,,,,,
-,-,-,-,-,-,"[25,23,21,19,17,15,13,11,9,7,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25"
,,,,,,
Katas6(100),,,,,,
arrayNum = [ ],i=0,index <= 100,i=0 && index <=100,array.push,i+=3,
[ ],0,true,true,0,-,
[0],1,true,true,3,-,
"[0,1]",2,true,true,6,-,
"[0,1,2]",3,true,true,9,-,
"[0,1,2,3]",4,true,true,12,-,
,,,,,,
-,-,-,-,-,-,"[0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,96,99]"
,,,,,,
Katas7(100),,,,,,
arrayNum = [ ],i=0,index <= 100,i=0 && index <= 100,array.push,i+=7,return
[ ],0,true,true,0,-,
[0],1,true,true,7,-,
"[0,1]",2,true,true,14,-,
"[0,1,2]",3,true,true,21,-,
"[0,1,2,3]",4,true,true,28,-,
,,,,,,
-,-,-,-,-,-,"[0,7,14,21,28,35,42,49,56,63,70,77,84,91,98]"
,,,,,,
Katas8(100),,,,,,
arrayNum = [ ],i=100,index > 0,i=100 && index>0,array.push,i--,return
[ ],0,true,true,99,-,
[0],1,true,true,98,-,
"[0,1]",2,true,true,96,-,
"[0,1,2]",3,true,true,93,-,
"[0,1,2,3]",4,true,true,91,-,
,,,,,,
-,-,-,-,-,-,"[99,98,96,93,91,90,87,84,81,78,77,75,73,70,69,66,63,60,57,56,54,51,49,48,45,42,39,36,35,33,30,28,27,24,21,18,15,14,12,9,7,6,3]"
,,,,,,
Katas9(100),,,,,,
arrayNum = [ ],i=0,index <= 100,i=0 && index <= 100,array.push,i++,return
[ ],0,true,true,0,0+1=1,
[0],1,true,true,5,5+1=6,
"[0,1]",2,true,true,10,10+1=11,
"[0,1,2]",3,true,true,15,15+1=16,
"[0,1,2,3]",4,true,true,20,20+1=21,
,,,,,,
-,-,-,-,-,-,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100]"
,,,,,,
Katas10(20),,,,,,
arrayNum = [ ],i=0,index<sampleArray.length,i=0 && index < sampleArray,array.push,i++,return
[ ],0,true,true,469,469+1=470,
[0],1,true,true,755,755+1=756,
"[0,1]",2,true,true,244,244+1=245,
"[0,1,2]",3,true,true,327,327+1=328,
"[0,1,2,3]",4,true,true,535,535+1=536,
,,,,,,
-,-,-,-,-,-,"[469,755,244,327,535,126,805,411,919,202,408,734,651,287,632,654,156,860,940,472]"
,,,,,,
Katas11(20),,,,,,
arrayNum = [ ],i=0,index<sampleArray.length,i % 2 === 0,array.push,i++,return
[ ],0,true,true,2,2+1=3,
[0],1,true,false,-,5+1=6,
[0],2,true,false,-,9+1=10,
[0],3,true,true,10,10+1=11,
"[0,3]",4,true,false,-,11+1=12,
,,,,,,
-,-,-,-,-,-,"[2,10,14,16,18]"
,,,,,,
Katas12(20),,,,,,
arrayNum = [ ],i=0,index < sampleArray.length,i % 2 != 0,array.push,i++,return
[ ],0,true,true,1,1+1=2,
[0],1,true,true,3,3+1=4,
"[0,1]",2,true,true,5,5+1=6,
"[0,1,2]",3,true,true,7,7+1=8,
"[0,1,2,3]",4,true,true,9,9+1=10,
,,,,,,
-,-,-,-,-,-,"[1,3,5,7,9,11,13,15,17,19]"
,,,,,,
Katas13(3),,,,,,
arrayNum = [ ],i=0,index<samplesArray.length,i % 8 === 0,array.push,i++,return
[ ],0,true,true,0,0+1=1,
[0],1,true,true,8,8+1=9,
"[0,1]",2,true,true,16,16+1=17,
,,,,,,
-,-,-,-,-,-,"[0,8,16]"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,